Date,vwretx,vwindx
20091231,-0.008875,1004.186
20100104,0.016977,1021.234
20100105,0.00339,1024.697
20100106,0.001655,1026.393
20100107,0.002967,1029.438
20100108,0.004158,1033.719
20100111,0.001097,1034.854
20100112,-0.011031,1023.438
20100113,0.008635,1032.276
20100114,0.002335,1034.686
20100115,-0.011424,1022.866
20100119,0.012125,1035.268
20100120,-0.011039,1023.84
20100121,-0.017789,1005.627
20100122,-0.021285,984.2224
20100125,0.003844,988.0059
20100126,-0.00484,983.2243
20100127,0.004249,987.4025
20100128,-0.011552,975.996
20100129,-0.010376,965.8693
20100201,0.015071,980.4257
20100202,0.012349,992.5333
20100203,-0.005248,987.3242
20100204,-0.032133,955.5982
20100205,0.002798,958.2724
20100208,-0.008492,950.1347
20100209,0.013818,963.2641
20100210,-0.001741,961.5875
20100211,0.011997,973.1236
20100212,-0.000728,972.4155
20100216,0.017943,989.8638
20100217,0.004574,994.3912
20100218,0.006161,1000.517
20100219,0.002497,1003.015
20100222,-0.001187,1001.825
20100223,-0.013134,988.6661
20100224,0.008484,997.0542
20100225,-0.000886,996.1713
20100226,0.001722,997.8864
20100301,0.012087,1009.948
20100302,0.00434,1014.331
20100303,0.001396,1015.748
20100304,0.003231,1019.029
20100305,0.01451,1033.815
20100308,0.000621,1034.458
20100309,0.001646,1036.16
20100310,0.005017,1041.359
20100311,0.003697,1045.209
20100312,0.000761,1046.005
20100315,-0.000643,1045.333
20100316,0.008706,1054.433
20100317,0.005616,1060.354
20100318,-0.002002,1058.231
20100319,-0.006853,1050.979
20100322,0.005918,1057.2
20100323,0.007664,1065.302
20100324,-0.00652,1058.356
20100325,-0.002456,1055.757
20100326,0.000537,1056.324
20100329,0.006539,1063.231
20100330,0.000318,1063.569
20100331,-0.002879,1060.507
20100401,0.008458,1069.477
20100405,0.009627,1079.773
20100406,0.002107,1082.048
20100407,-0.005734,1075.844
20100408,0.002877,1078.939
20100409,0.006703,1086.171
20100412,0.001868,1088.2
20100413,0.000631,1088.887
20100414,0.012398,1102.387
20100415,0.000117,1102.516
20100416,-0.01614,1084.722
20100419,0.002405,1087.33
20100420,0.009837,1098.026
20100421,-0.00059,1097.378
20100422,0.003611,1101.341
20100423,0.007486,1109.586
20100426,-0.003283,1105.943
20100427,-0.024025,1079.373
20100428,0.005074,1084.85
20100429,0.013648,1099.656
20100430,-0.017119,1080.831
20100503,0.013052,1094.938
20100504,-0.025438,1067.085
20100505,-0.009487,1056.962
20100506,-0.033019,1022.063
20100507,-0.016227,1005.478
20100510,0.045199,1050.924
20100511,-0.001037,1049.834
20100512,0.016089,1066.725
20100513,-0.011016,1054.974
20100514,-0.019611,1034.285
20100517,-0.000623,1033.64
20100518,-0.013887,1019.287
20100519,-0.007216,1011.932
20100520,-0.040895,970.5491
20100521,0.015348,985.4448
20100524,-0.012344,973.2808
20100525,-0.000103,973.1802
20100526,-0.003134,970.1298
20100527,0.035064,1004.146
20100528,-0.011968,992.1288
20100601,-0.018811,973.4657
20100602,0.026775,999.5303
20100603,0.004954,1004.482
20100604,-0.036374,967.9448
20100607,-0.014355,954.0501
20100608,0.009152,962.7819
20100609,-0.003978,958.9517
20100610,0.02988,987.6053
20100611,0.005881,993.4131
20100614,-0.000074,993.3394
20100615,0.024059,1017.238
20100616,-0.001236,1015.98
20100617,0.000771,1016.764
20100618,0.001694,1018.486
20100621,-0.004485,1013.919
20100622,-0.016463,997.2274
20100623,-0.003055,994.1804
20100624,-0.01653,977.7469
20100625,0.005937,983.5521
20100628,-0.003262,980.3437
20100629,-0.033333,947.6655
20100630,-0.0092,938.9468
20100701,-0.004081,935.1149
20100702,-0.004943,930.4924
20100706,0.00329,933.5541
20100707,0.031028,962.5204
20100708,0.009687,971.8447
20100709,0.009003,980.5943
20100712,-0.00126,979.3591
20100713,0.017312,996.3135
20100714,-0.000674,995.6418
20100715,0.000447,996.0864
20100716,-0.028897,967.3025
20100719,0.005031,972.1694
20100720,0.012329,984.1556
20100721,-0.01313,971.2335
20100722,0.023697,994.2487
20100723,0.009771,1003.964
20100726,0.011822,1015.833
20100727,-0.002503,1013.29
20100728,-0.007764,1005.423
20100729,-0.002899,1002.508
20100730,0.001465,1003.977
20100802,0.020721,1024.78
20100803,-0.005289,1019.36
20100804,0.007319,1026.821
20100805,-0.0026,1024.152
20100806,-0.003756,1020.305
20100809,0.005936,1026.361
20100810,-0.00813,1018.017
20100811,-0.029953,987.5241
20100812,-0.004945,982.6412
20100813,-0.004067,978.6453
20100816,0.0013,979.9172
20100817,0.013905,993.5427
20100818,0.002259,995.7866
20100819,-0.017034,978.824
20100820,-0.003364,975.5317
20100823,-0.004921,970.7315
20100824,-0.014751,956.412
20100825,0.004594,960.8062
20100826,-0.006821,954.2521
20100827,0.018522,971.9269
20100830,-0.014619,957.7184
20100831,0.000001,957.7198
20100901,0.029413,985.889
20100902,0.009659,995.4113
20100903,0.013215,1008.566
20100907,-0.012132,996.3302
20100908,0.0062,1002.508
20100909,0.003692,1006.209
20100910,0.004531,1010.768
20100913,0.012547,1023.45
20100914,-0.000258,1023.186
20100915,0.003003,1026.258
20100916,-0.000836,1025.4
20100917,0.001208,1026.639
20100920,0.015319,1042.366
20100921,-0.003269,1038.958
20100922,-0.005266,1033.487
20100923,-0.008237,1024.974
20100924,0.021472,1046.982
20100927,-0.004585,1042.181
20100928,0.0056,1048.018
20100929,-0.00124,1046.718
20100930,-0.002106,1044.513
20101001,0.004784,1049.511
20101004,-0.008804,1040.27
20101005,0.020751,1061.857
20101006,-0.000786,1061.023
20101007,-0.00205,1058.847
20101008,0.007609,1066.905
20101011,0.000543,1067.484
20101012,0.003821,1071.562
20101013,0.008589,1080.766
20101014,-0.003839,1076.616
20101015,0.000813,1077.492
20101018,0.006419,1084.409
20101019,-0.017194,1065.763
20101020,0.011173,1077.671
20101021,0.000379,1078.08
20101022,0.002632,1080.917
20101025,0.003627,1084.838
20101026,-0.000396,1084.409
20101027,-0.003329,1080.798
