,Unnamed: 0,# of alphabetic,# of digits,# of numbers,% constraining,% litigious,% modal moderate,% modal strong,% modal-weak,% negative,% positive,% uncertainty,average word length,avg # of syllables per word,cik,co_conm,co_tic,company name,conformed period of report,date as of change,excess_return,file name,file size,filed as of date,number of words,vocabulary
0,0,392978,11113,3737,0,0,0,0,0,1.644240721573266,4.882448617477451,0,4.687357681502292,0,1103982,MONDELEZ INTERNATIONAL INC,mdlz,KRAFT FOODS INC,20091231,20100225,-0.002216001851964995,../Data/filtered_textdata/2010/QTR1/20100225_10-K_edgar_data_1103982_0001193125-10-040106_1.txt,521909,2010-02-25,33815,1117
1,1,499080,11629,4300,0,0,0,0,0,2.221687905746573,4.907429670593894,0,4.945804279874969,0,18230,CATERPILLAR INC,cat,CATERPILLAR INC,20091231,20100219,-0.0280760905219036,../Data/filtered_textdata/2010/QTR1/20100219_10-K_edgar_data_18230_0000018230-10-000092_1.txt,679447,2010-02-19,41590,1241
2,2,382849,8883,3412,0,0,0,0,0,2.02315624434662,4.833262980160405,0,4.84686124344208,0,104169,WALMART INC,wmt,WAL MART STORES INC,20100131,20100330,-0.01322134776082017,../Data/filtered_textdata/2010/QTR1/20100330_10-K_edgar_data_104169_0001193125-10-071652_1.txt,497672,2010-03-30,33166,1115
3,3,425869,12871,4201,0,0,0,0,0,2.195052601649133,5.422234859255047,0,4.834489621836792,0,66740,3M CO,mmm,3M CO,20091231,20100216,0.01382832084465005,../Data/filtered_textdata/2010/QTR1/20100216_10-K_edgar_data_66740_0001104659-10-007295_1.txt,547681,2010-02-16,35170,1203
4,4,371730,9252,3048,0,0,0,0,0,2.170850409836066,4.88921618852459,0,4.62413550204918,0,50863,INTEL CORP,intc,INTEL CORP,20091226,20100222,-0.01724699016289764,../Data/filtered_textdata/2010/QTR1/20100222_10-K_edgar_data_50863_0000950123-10-015237_1.txt,497412,2010-02-22,31232,1088
5,5,155830,6055,2018,0,0,0,0,0,1.55420773313116,5.511751326762699,0,4.739044730856709,0,354950,HOME DEPOT INC,hd,HOME DEPOT INC,20100131,20100325,-0.003537522832439091,../Data/filtered_textdata/2010/QTR1/20100325_10-K_edgar_data_354950_0001193125-10-067178_1.txt,207048,2010-03-25,13190,806
6,6,2003823,32921,13275,0,0,0,0,0,1.83432540778125,4.904970679506576,0,4.725221146094466,0,70858,BANK OF AMERICA CORP,bac,BANK OF AMERICA CORP /DE/,20091231,20100226,-0.02263357266541475,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_70858_0001193125-10-041666_1.txt,2623089,2010-02-26,181102,1689
7,7,434244,11161,3785,0,0,0,0,0,1.673822074887234,5.02690071191783,0,5.012716700179338,0,101829,RAYTHEON TECHNOLOGIES CORP,rtx,UNITED TECHNOLOGIES CORP /DE/,20091231,20100211,0.01029472427504813,../Data/filtered_textdata/2010/QTR1/20100211_10-K_edgar_data_101829_0001193125-10-027861_1.txt,562664,2010-02-11,36802,1051
8,8,316093,8393,2894,0,0,0,0,0,1.416109220357548,5.112858428197003,0,4.975159410084887,0,34088,EXXON MOBIL CORP,xom,EXXON MOBIL CORP,20091231,20100526,0.0009124572620244726,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_34088_0001193125-10-042929_1.txt,421751,2010-02-26,25563,1121
9,9,588311,16437,5658,0,0,0,0,0,1.468202465931213,4.767602206359506,0,4.824038773523687,0,51143,INTL BUSINESS MACHINES CORP,ibm,INTERNATIONAL BUSINESS MACHINES CORP,20091231,20100223,-0.0001606062450548347,../Data/filtered_textdata/2010/QTR1/20100223_10-K_edgar_data_51143_0001047469-10-001151_1.txt,762948,2010-02-23,49312,1219
