file name,"file size,","number of words,",weighted-FIN-NEG,weighted-H4N-INF
D:/CHX/fall2020/NLP/HW/1/all\3M CO20100216_10-K_edgar_data_66740_0001104659-10-007295_1.txt,547681,73450,0.243195263,0.127815189
D:/CHX/fall2020/NLP/HW/1/all\3M CO20110216_10-K_edgar_data_66740_0001104659-11-007845_1.txt,432278,55594,0.232135423,0.126711366
D:/CHX/fall2020/NLP/HW/1/all\3M CO20120216_10-K_edgar_data_66740_0001104659-12-010566_1.txt,451027,57878,0.225249722,0.131932091
D:/CHX/fall2020/NLP/HW/1/all\3M CO20130214_10-K_edgar_data_66740_0001104659-13-010881_1.txt,430089,55361,0.243571352,0.128437829
D:/CHX/fall2020/NLP/HW/1/all\3M CO20140213_10-K_edgar_data_66740_0001104659-14-009773_1.txt,420847,54030,0.235815987,0.128086526
D:/CHX/fall2020/NLP/HW/1/all\3M CO20150212_10-K_edgar_data_66740_0001104659-15-009560_1.txt,416700,53373,0.205063657,0.127369002
D:/CHX/fall2020/NLP/HW/1/all\3M CO20160211_10-K_edgar_data_66740_0001558370-16-003162_1.txt,520549,69682,0.206233534,0.11313834
D:/CHX/fall2020/NLP/HW/1/all\3M CO20170209_10-K_edgar_data_66740_0001558370-17-000479_1.txt,637190,85918,0.23381144,0.119259274
D:/CHX/fall2020/NLP/HW/1/all\3M CO20180208_10-K_edgar_data_66740_0001558370-18-000535_1.txt,526696,70681,0.230952388,0.131837067
D:/CHX/fall2020/NLP/HW/1/all\aapl20191031_10-K_edgar_data_320193_0000320193-19-000119_1.txt,239870,30769,0.241818969,0.113638056
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20100218_10-K_edgar_data_4281_0001193125-10-034308_1.txt,1308166,177531,0.273396787,0.131901183
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20110217_10-K_edgar_data_4281_0001193125-11-039230_1.txt,655303,85698,0.297057922,0.121724285
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20120216_10-K_edgar_data_4281_0001193125-12-065493_1.txt,597116,77346,0.309457969,0.121440381
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20130215_10-K_edgar_data_4281_0001193125-13-062916_1.txt,674819,87206,0.277534947,0.111769485
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20140213_10-K_edgar_data_4281_0001193125-14-051516_1.txt,789553,103395,0.361792719,0.148783726
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20150219_10-K_edgar_data_4281_0001193125-15-054376_1.txt,657861,85656,0.304925629,0.119292814
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20160219_10-K_edgar_data_4281_0001193125-16-470162_1.txt,1755385,241817,0.21976972,0.10422074
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20170228_10-K_edgar_data_4281_0001193125-17-062657_1.txt,918219,125671,0.213648091,0.107739708
D:/CHX/fall2020/NLP/HW/1/all\ALCOA INC20180226_10-K_edgar_data_4281_0000004281-18-000042_1.txt,1060962,145312,0.18848257,0.09910047
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20100226_10-K_edgar_data_4962_0001193125-10-041232_1.txt,763286,101066,0.220827586,0.116540842
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20110228_10-K_edgar_data_4962_0000950123-11-019072_1.txt,1092691,145251,0.224142991,0.129557997
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20120224_10-K_edgar_data_4962_0001193125-12-077400_1.txt,996728,133772,0.239695521,0.133602409
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20130222_10-K_edgar_data_4962_0001193125-13-070554_1.txt,909223,122449,0.247217467,0.126934905
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20140225_10-K_edgar_data_4962_0001193125-14-066777_1.txt,794037,106429,0.251290374,0.129482947
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20150224_10-K_edgar_data_4962_0001193125-15-059931_1.txt,802281,108038,0.267994044,0.139435627
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20160219_10-K_edgar_data_4962_0001193125-16-469798_1.txt,781685,106160,0.272676659,0.144656448
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20170217_10-K_edgar_data_4962_0001193125-17-047588_1.txt,777094,107179,0.265991872,0.140289807
D:/CHX/fall2020/NLP/HW/1/all\AMERICAN EXPRESS CO20180216_10-K_edgar_data_4962_0000004962-18-000032_1.txt,558548,76829,0.308980174,0.151341432
D:/CHX/fall2020/NLP/HW/1/all\APPLE INC20101027_10-K_edgar_data_320193_0001193125-10-238044_1.txt,358186,47986,0.275866941,0.119717129
D:/CHX/fall2020/NLP/HW/1/all\APPLE INC20111026_10-K_edgar_data_320193_0001193125-11-282113_1.txt,328595,44121,0.286626839,0.128664243
